Артикул;Наименование;Количество;Единица измерения;Тип;Цена
L1D60/730CR;Подстолье D60, H730+5мм, хром, 1шт.;1629;компл.;Опора;4095
T80X80/715BL;Подстолье 80х80, H715+5мм, черный, 1шт.;671;компл.;Опора;3585,75
T80X80TWIN/715BL;Подстолье 80х80 двойное, H715+5мм, черный, 1шт.;732;компл.;Опора;6069
Т 76/715 АЛЮМ МАТ;Подстолье с круглым основ, D60, H700, хром матовый, 1шт.;929;шт.;Опора;3179,9
Т 76/715 АЛЮМ МАТ КВ;Подстолье с квадратным основ, D60, H700, хром матовый, 1шт.;2128;шт.;Опора;3179,9
Т 76/715 ХРОМ;Подстолье с круглым основ, D60, H700, хром вулканический, 1шт.;355;шт.;Опора;1240
Т 76/715 ХРОМ КВ;Подстолье с квадратным основ, D60, H700, хром вулканический, 1шт.;1503;шт.;Опора;1440
ADJ1.020.CM;Опора декоративная Н20+8мм хром матовый;1953;шт.;Опора;34,07
ADJ10.060.AL;Опора декоративная Н60+18мм хром матовый;2817;шт.;Опора;433,41
ADJ10.060.CR;Опора декоративная Н60+18мм хром;1922;шт.;Опора;200
ADJ2.045.CM;Опора декоративная Н45+8мм хром матовый;2805;шт.;Опора;39,75
ADJ3.040.CM;Опора декоративная Н40+10мм хром матовый;1976;шт.;Опора;26,25
ADJ4.060.CMCR;Опора декоративная D56мм, Н60+27мм хром матовый/хром;2366;шт.;Опора;56,78
ADJ4.100.CMCR;Опора декоративная D56мм, Н100+27мм хром матовый/хром;998;шт.;Опора;62,46
ADJ5.100.CM;Опора декоративная Н100+10мм хром матовый;1221;шт.;Опора;20
ADJ6.020.CM;Опора декоративная Н20+8мм хром матовый;2625;шт.;Опора;24,15
ADJ7.060.AL;Опора декоративная D40мм, Н60+18мм алюминий;1235;шт.;Опора;46,07
ADJ7.060.CR;Опора декоративная D40мм, Н60+18мм хром;1573;шт.;Опора;69,3
ADJ7.100.AL;Опора декоративная D40мм, Н100+18мм алюминий;374;шт.;Опора;59,85
ADJ7.100.CR;Опора декоративная D40мм, Н100+18мм хром;812;шт.;Опора;77,7
ADJ7.120.AL;Опора декоративная D40мм, Н120+18мм алюминий;2371;шт.;Опора;71,87
ADJ7.150.AL;Опора декоративная D40мм, Н150+18мм алюминий;2881;шт.;Опора;86,61
ADJ7.150.CR;Опора декоративная D40мм, Н150+18мм хром;1258;шт.;Опора;109,2
ADJ7.180.AL;Опора декоративная Н180+18мм алюминий;2296;шт.;Опора;112,35
ADJ8.060.AL;Опора декоративная Н60+18мм алюминий;1960;шт.;Опора;46,07
ADJ8.060.CR;Опора декоративная Н60+18мм хром;1350;шт.;Опора;57,75
ADJ8.100.AL;Опора декоративная Н100+18мм алюминий;573;шт.;Опора;59,85
ADJ8.100.CR;Опора декоративная Н100+18мм хром;592;шт.;Опора;77,7
ADJ8.120.AL;Опора декоративная Н120+18мм алюминий;2073;шт.;Опора;71,87
ADJ8.150.AL;Опора декоративная Н150+18мм алюминий;695;шт.;Опора;86,61
ADJ8.150.CR;Опора декоративная Н150+18мм хром;2457;шт.;Опора;109,2
ADJ8.180.AL;Опора декоративная Н180+18мм алюминий;1330;шт.;Опора;112,35
ADJ9.016.AL;Опора декоративная Н16+18мм хром матовый;1339;шт.;Опора;272,4
ADJ9.016.CR;Опора декоративная Н16+18мм хром;2749;шт.;Опора;340,68
FIX01.050.CM;Опора декоративная Н50мм хром матовый;1303;шт.;Опора;28,39
FIX01.100.CM;Опора декоративная Н100мм хром матовый;2235;шт.;Опора;51,1
FIX01.150.CM;Опора декоративная Н150мм хром матовый;1554;шт.;Опора;56,78
FIX011.100.CR;Опора декоративная Н100мм хром;394;шт.;Опора;100
FIX013.100.CR;Опора декоративная D50мм, Н100мм хром;1848;шт.;Опора;50
FIX013/R.100.CR;Опора декоративная D50мм, Н100мм хром;2462;шт.;Опора;82,95
FIX014.043.CR;Опора декоративная D40мм, Н43мм хром;2223;шт.;Опора;50
FIX015.055.CR;Опора декоративная Н55мм хром;1042;шт.;Опора;332,48
FIX016.055.CR;Опора декоративная Н55мм хром;1404;шт.;Опора;184,83
FIX017.052.CR;Опора декоративная Н52мм хром;2205;шт.;Опора;230,84
FIX018.035.CR;Опора декоративная Н35мм хром;777;шт.;Опора;230,84
FIX019.135.CR;Опора декоративная Н135мм хром;951;шт.;Опора;225,61
FIX020.100.AL;Опора декоративная Н100мм алюминий;2397;шт.;Опора;302,09
FIX020.120.AL;Опора декоративная Н120мм алюминий;1287;шт.;Опора;320,6
FIX020.150.AL;Опора декоративная Н150мм алюминий;274;шт.;Опора;350,29
LF010 АЛЮМ ГЛЯН;Опора декоративная D51мм, Н150+33мм алюминий глянец;558;шт.;Опора;140,83
NA01C00 100ММ;Опора декоративная Н100мм алюминий;2315;шт.;Опора;150
NA02C00 100ММ;Опора декоративная Н100мм алюминий;137;шт.;Опора;200
NA02C00 120ММ;Опора декоративная Н120мм алюминий;2519;шт.;Опора;50
NA02C00 150ММ;Опора декоративная Н150мм алюминий;686;шт.;Опора;50
NA03C00/100/R;Опора декоративная Н100+20мм алюминий;104;шт.;Опора;573,71
NA10C00 R120ММ;Опора декоративная D32мм, Н120+10мм алюминий;2150;шт.;Опора;150
NA10C00 R150ММ;Опора декоративная D32мм, Н150+10мм алюминий;957;шт.;Опора;412,63
NA10C00/R 100ММ;Опора декоративная D32мм, Н100+10мм алюминий;535;шт.;Опора;362,16
NA10C00/R 180ММ;Опора декоративная D32мм, Н180+10мм алюминий;1115;шт.;Опора;417,86
NA11C00 R120ММ;Опора декоративная D50мм, Н120+10мм алюминий;2987;шт.;Опора;469,81
NA11C00 R150ММ;Опора декоративная D50мм, Н150+10мм алюминий;1755;шт.;Опора;473,49
NA11C00/R 100ММ;Опора декоративная D50мм, Н100+10мм алюминий;234;шт.;Опора;408,95
NA11C00/R 180ММ;Опора декоративная D50мм, Н180+10мм алюминий;602;шт.;Опора;484,65
NA12C00 R120ММ;Опора декоративная D50мм, Н120+8мм алюминий;1286;шт.;Опора;150
NA12C00 R150ММ;Опора декоративная D50мм, Н150+8мм алюминий;1208;шт.;Опора;150
NA12C00 R180ММ;Опора декоративная D50мм, Н180+8мм алюминий;1009;шт.;Опора;489,81
NA12C00/R 100ММ;Опора декоративная D50мм, Н100+8мм алюминий;2732;шт.;Опора;432,7
NA20C00 100ММ;Опора декоративная Н100мм алюминий;1525;шт.;Опора;200
NA20C00/R 100ММ;Опора декоративная Н100+8мм алюминий;130;шт.;Опора;631,6
NA50C00/ 100ММ;Опора декоративная Н100мм алюминий;905;шт.;Опора;20
NA53C00/R 100ММ;Опора декоративная D32мм, Н100+15мм алюминий;2323;шт.;Опора;150
NZ0104/C 98ММ;Опора декоративная Н98мм хром;2151;шт.;Опора;50
NZ0204 90ММ;Опора декоративная Н90мм хром;1323;шт.;Опора;20
NZ0204/C 90ММ;Опора декоративная Н90мм хром;1894;шт.;Опора;20
NZ0404/C 124ММ;Опора декоративная Н124мм хром;103;шт.;Опора;50
NZ0704/C 120ММ;Опора декоративная Н120мм хром;2992;шт.;Опора;158,82
NZ0903 103ММ;Опора декоративная Н103мм золото;2616;шт.;Опора;437,86
NZ0904/ADJ;Опора декоративная Н105+8мм хром;2400;шт.;Опора;176,63
NZ0904/C;Опора декоративная Н100мм хром;2325;шт.;Опора;50
NZ0906 103ММ;Опора декоративная Н103мм никель матовый;1765;шт.;Опора;362,94
NZ1804 103ММ;Опора декоративная Н103мм хром;2981;шт.;Опора;100
NZ4708 100ММ;Опора декоративная D35мм, Н100+10мм хром матовый;1103;шт.;Опора;443,8
NZ4708 120ММ;Опора декоративная D35мм, Н120+10мм хром матовый;1068;шт.;Опора;200
NZ5208RSM 55ММ;Опора декоративная Н55мм хром матовый;2418;шт.;Опора;284,98
NZ5504 74ММ;Опора декоративная Н74+13мм хром;430;шт.;Опора;489,81
NZ5508 74ММ;Опора декоративная Н74+13мм хром матовый;1496;шт.;Опора;489,81
04.C060;Ножка пластиковая серии 1004, h=60 мм;2594;шт.;Опора;31
5,0261;База для пластиковой ножки овальная серии 1004;1409;шт.;Опора;11,45
7,121;Винт крепежный для ножки  серии 1004;563;шт.;Опора;6,86
1004.A60;Ножка пластиковая серии 1004, h=60 мм;59;шт.;Опора;34,28
1501KEY;Ключ для регулировки ножек серии 1004;2662;шт.;Опора;589,12
2 01030 20 GR;Футорка металлическая D10, М8 Х 18;1601;шт.;Опора;3,68
3 01070 10 EA;Корпус для опоры Integrato, h=24;1283;шт.;Опора;1,75
3 01070 20 EA;INTEGRATO Корпус для опоры, В=40 мм;2225;шт.;Опора;12,58
3 01070 30 EA;INTEGRATO Корпус для опоры, В=60 мм;2319;шт.;Опора;14,49
3 030 152 000;REKORD12 Сверло для установки опоры, 120 мм;513;шт.;Опора;2995
3 030 153 000;REKORD12 Сверло для установки опоры, 96 мм;2966;шт.;Опора;2995
3 15010 30 WI;Клипса для деревянного цоколя;2605;шт.;Опора;28,77
3 15040 10 ZN;Шток для крепления клипсы для деревянного цоколя;269;шт.;Опора;16,04
4017.CR 01;Ножка (регулируемая) хром;741;шт.;Опора;13,15
5521 10;Скоба внутренняя металлическая;1533;шт.;Опора;40
6494 916 DX;KEY-F Опора регулируемая колесная, поворотная, правая;1611;шт.;Опора;459,7
6494 917 SX;KEY-F Опора регулируемая колесная, поворотная, левая;2476;шт.;Опора;459,7
6 520 105;REKORD Опора регулируемая, D12 мм, высота отверстия 52 мм;826;шт.;Опора;101,57
X4RG 710 / 4 ШТ;Опора для стола, D60, H715+25 мм, хром, 4шт.;2535;упак.;Опора;1200
6 520 107;REKORD Опора регулируемая, D12 мм, высота отверстия 70 мм;1868;шт.;Опора;112,52
6 520 109;REKORD Опора регулируемая, D12 мм, высота отверстия 96 мм;1896;шт.;Опора;128,64
6 520 112;REKORD Опора регулируемая, D12 мм, высота отверстия 120 мм;1811;шт.;Опора;143,27
6544 4;POTENT Регулятор высоты 25 мм;398;шт.;Опора;6,55
6 555 120;INTEGRATO Z Опора регулируемая, регулировка 10 мм;1332;шт.;Опора;47,5
6 563 860;INTEGRATO Опора регулируемая с шипами, регулировка 25 мм, винт нейлон;100;шт.;Опора;48,27
6 565 550;INTEGRATO Опора регулируемая со штифтами, регулировка 12 мм;1510;шт.;Опора;51,95
6 565 570;INTEGRATO Опора регулируемая со штифтами, регулировка 25 мм;373;шт.;Опора;54,92
6 565 850;INTEGRATO Опора регулируемая с шипами, регулировка 12 мм;1730;шт.;Опора;49,76
6 565 870;INTEGRATO Опора регулируемая с шипами, регулировка 25 мм;812;шт.;Опора;54,07
6 566 100;ATACAMA Опора регулируемая с поддержкой дна и боковины, регулировка 25 мм, винт нейлон;167;шт.;Опора;108,28
6 568 100;ATACAMA J Опора-стяжка регулируемая с поддержкой дна и боковины, регулировка 25 мм, винт замак;1103;шт.;Опора;245,68
LEV M10 X 15;Ножка мебельная на подвижном шарнире хром, М10 Х 15;1304;шт.;Опора;80,22
LEV M8 X 70/L;Опора регулируемая с поддержкой боковины, левая;1192;шт.;Опора;56,05
LEV M8 X 70/R;Опора регулируемая с поддержкой боковины, правая;1953;шт.;Опора;56,05
PI01 M6 X 20;Ножка мебельная черная, М6 Х 20;543;шт.;Опора;4,59
PI02 M8 X 22;Ножка мебельная черная, М8 Х 22;2660;шт.;Опора;5,7
PI02 M8 X 25R;Ножка мебельная черная, М8 Х 25;2379;шт.;Опора;5,57
PI03 M10 X 25;Ножка мебельная черная, М10 Х 25;1028;шт.;Опора;9,06
PI03 M10 X 30R;Ножка мебельная черная, М10 Х 30;1314;шт.;Опора;9,08
PI04 (668);Ножка мебельная черная, регулировка 17 мм;1958;шт.;Опора;16,67
PI04/CH;Ножка мебельная черная, регулировка 17 мм;1180;шт.;Опора;5,68
PI05 M6 X 17;Ножка мебельная черная, М6 Х 17;935;шт.;Опора;4,59
PI05 M6 X 18R;Ножка мебельная черная, М6 Х 18;638;шт.;Опора;3,4
PI06 M8 X 25R;Ножка мебельная черная, М8 Х 25;86;шт.;Опора;6,03
PI06 M8 X 30;Ножка мебельная черная, М8 Х 30;2614;шт.;Опора;6
PI07 M10 X 30;Ножка мебельная черная, М10 Х 30;486;шт.;Опора;10,99
PI07 M10 X 30R;Ножка мебельная черная, М10 Х 30;234;шт.;Опора;9,45
PI08-CH;Ножка мебельная черная H=17мм, регулировка 21мм;1422;шт.;Опора;10,88
PI09;Ножка мебельная черная, регулировка 24 мм;1387;шт.;Опора;13,73
PI10 M6 X 20;Ножка мебельная черная, М6 Х 20;1958;шт.;Опора;7,49
PI11 PNE;Опора регулируемая с поддержкой боковины, черная;1185;шт.;Опора;17,46
PI14;Ножка мебельная с прямым шлицем черная, М8 Х 27;2437;шт.;Опора;10,46
PI77 PNE;Ножка мебельная на подвижном шарнире черная, М10 Х 34;2467;шт.;Опора;85,1
T210K.1425.000;Опора врезная, D14, 25 мм;2670;компл.;Опора;51,5
T210K.2032.101;Опора врезная, D12, 32 мм;966;шт.;Опора;24,97
T210KNE.2025.101;Опора врезная, D12, 52 мм;666;шт.;Опора;24,97
20Х20Х1,5;Заглушка-подпятник;1195;шт.;Подпятники;3
20Х20Х1,5Н;Заглушка-подпятник;1799;шт.;Подпятники;3
25Х25 M8;Заглушка-подпятник с гайкой, М8;2837;шт.;Подпятники;15,96
25Х25 М10;Заглушка-подпятник с гайкой, М10;1742;шт.;Подпятники;17,02
25Х25Х1,5;Заглушка-подпятник;1542;шт.;Подпятники;3
H008 D14;Подпятник с гвоздем белый;1801;шт.;Подпятники;0,99
HR15-NB;Подпятник самоклеящийся круглый D15, коричневый (30 шт.);385;упак.;Подпятники;25,37
HR15-W;Подпятник самоклеящийся круглый D15, белый (30 шт.);2660;упак.;Подпятники;25,37
HR19-G;SuperGlide Подпятник круглый, D19 мм, самоклеящийся;1099;шт.;Подпятники;20,57
HR19-N;SuperGlide Подпятник круглый, D19 мм, с шипом;1492;шт.;Подпятники;23,32
HR19-S;SuperGlide Подпятник круглый, D19 мм, под саморез;2246;шт.;Подпятники;23,32
HR20-NB;Подпятник самоклеящийся круглый D20, коричневый (40 шт.);860;упак.;Подпятники;46,3
HR20-W;Подпятник самоклеящийся круглый D20, белый (40 шт.);85;упак.;Подпятники;46,3
HR25-NB;Подпятник самоклеящийся круглый D25, коричневый (24 шт.);1032;упак.;Подпятники;34,49
HR25-W;Подпятник самоклеящийся круглый D25, белый (24 шт.);968;упак.;Подпятники;34,49
HR30-G;SuperGlide Подпятник круглый, D30 мм, самоклеящийся;725;шт.;Подпятники;28,06
HR30-N;SuperGlide Подпятник круглый, D30 мм, с шипом;638;шт.;Подпятники;32,58
HR30-S;SuperGlide Подпятник круглый, D30 мм, под саморез;986;шт.;Подпятники;32,58
HR35-NB;Подпятник самоклеящийся круглый D35, коричневый (8 шт.);1554;упак.;Подпятники;21,13
HR35-W;Подпятник самоклеящийся круглый D35, белый (8 шт.);1791;упак.;Подпятники;21,13
HS2020-NB;Подпятник самоклеящийся квадратный 20X20мм, коричневый, 40 шт.;1166;упак.;Подпятники;46,3
HS2020-W;Подпятник самоклеящийся квадратный 20X20мм, белый, 40 шт.;2999;упак.;Подпятники;46,3
HS3030-NB;Подпятник самоклеящийся квадратный 30X30мм, коричневый, 12 шт.;2673;упак.;Подпятники;20,21
HS3030-W;Подпятник самоклеящийся квадратный 30X30мм, белый, 12 шт.;980;упак.;Подпятники;20,21
HS4040-NB;Подпятник самоклеящийся квадратный 40X40мм, коричневый, 12 шт.;219;упак.;Подпятники;40,43
HS4040-W;Подпятник самоклеящийся квадратный 40X40мм, белый, 12 шт.;2956;упак.;Подпятники;40,43
SC01PNE;Подпятник черный;1898;шт.;Подпятники;1,2
SC10PMA;Клин монтажный, коричневый;2842;шт.;Подпятники;3,46
ГВОЗДЬ 1000 ШТ;Подпятник мебельный под гвоздь, черный;2809;упак.;Подпятники;590
КРУГЛЫЙ-1 ШТ;Подпятник черный круглый;496;шт.;Подпятники;0,61
101.A2 GR;Опора двухколесная с площадкой, D60 мм, со стопором;1920;шт.;опора;94
101.B2 GR;Опора двухколесная с площадкой, D60 мм, без стопора;2250;шт.;опора;88,56
5521 10;Скоба внутренняя металлическая;1632;шт.;опора;40
613.R1;Колесо для опоры с заглушкой;1233;шт.;опора;472,07
CS-40U;Опора колесная с U-обр. креплением для плиты 16 мм, D40 мм;1150;шт.;опора;26,22
CST10;Опора двухколесная с площадкой, D38 мм, без стопора;2431;шт.;опора;133,16
CST20;Опора двухколесная с площадкой, D38 мм, со стопором;1796;шт.;опора;147,72
CST79 CHROME;Опора двухколесная усиленная, D75 мм, без стопора, хром;1424;шт.;опора;373,47
CST79 GREY;Опора двухколесная усиленная, D75 мм, без стопора, серая;948;шт.;опора;363,86
CST80 CHROME;Опора двухколесная усиленная, D75 мм, со стопором, хром;2773;шт.;опора;406,83
CST80 GREY;Опора двухколесная усиленная, D75 мм, со стопором, серая;617;шт.;опора;397,22
CSU-50P;Опора колесная с площадкой, D50 мм, без стопора;1598;шт.;опора;57,82
FIX06;Площадка 47х47 мм для усиленных опор CST79 и CST80;698;шт.;опора;38,59
FIX09;Штифт М10 для усиленных опор CST79 и CST80;962;шт.;опора;19,3
Helen80 Chrome;Опора Helen 80 мм (со стопором), хром;671;шт.;опора;75
JOK.034C.ZN 01;Опора (колесная) оцинк.;1100;шт.;опора;159,88
OK-40/1-CT;Опора двухколесная с площадкой, D40 мм, со стопором;668;шт.;опора;16,19
OK-40/2-CT;Опора двухколесная с винтом M8, D40 мм, со стопором;2907;шт.;опора;15,62
OK-50/1-CT;Опора двухколесная с площадкой, D50 мм, со стопором;1659;шт.;опора;18,45
OK-50/2-CT;Опора двухколесная с винтом M10, D50 мм, со стопором;1707;шт.;опора;17,88
PV06;Площадка 48х48 мм к опорам RU79 и RU80;1259;шт.;опора;15,24
PV09;Штифт М10 к опорам RU79 и RU80;1926;шт.;опора;21,2
RU55PNE;Опора колесная, поворотная, черная;445;шт.;опора;97,4
RU79;Опора двухколесная усиленная 75 мм (без стопора);208;шт.;опора;388,74
RU80;Опора двухколесная усиленная 75 мм (со стопором);995;шт.;опора;424,08
W00;Опора двухколесная с винтом M10, D50 мм, без стопора;290;шт.;опора;132,95
W00B;Опора двухколесная с винтом M10, D50 мм, со стопором;389;шт.;опора;141,01
W01;Опора двухколесная с площадкой, D50 мм, без стопора;2322;шт.;опора;144,75
W01B;Опора двухколесная с площадкой, D50 мм, со стопором;1455;шт.;опора;147,72
W02;Опора одноколесная с площадкой, D80 мм, без стопора;2940;шт.;опора;163,27
W03;Опора двухколесная с винтом M8, D40 мм, без стопора;508;шт.;опора;39,5
W04;Опора двухколесная с площадкой, D40 мм, без стопора;1311;шт.;опора;103,9
КП 3;Опора колесная, прямоходная, пластиковое колесо, высота 29 мм;2557;шт.;опора;5,49
КП 3М;Опора колесная, прямоходная, прорезиненное колесо, высота 29 мм;2430;шт.;опора;17,14
КП 3Н;Опора колесная, прямоходная, пластиковое колесо, высота 29 мм;1848;шт.;опора;7,35
КП 5;Опора колесная, прямоходная, пластиковое колесо, высота 46 мм;2115;шт.;опора;17
КП 5М;Опора колесная, прямоходная, прорезиненное колесо, высота 46 мм;1895;шт.;опора;23,15
ОК-40/1/K;Опора двухколесная с площадкой, D40 мм, без стопора;2588;шт.;опора;14,84
ОК-40/2/K;Опора двухколесная с винтом M8, D40 мм, без стопора;2767;шт.;опора;14,14
ОК-50/1/K;Опора двухколесная с площадкой, D50 мм, без стопора;1271;шт.;опора;17,1
ОК-50/2/K;Опора двухколесная с винтом M10, D50 мм, без стопора;1709;шт.;опора;16,68
100R;Навес-планка со средним отверстием под крепление, 64 мм;401;шт.;навесы;2,5
200R;Навес-планка с верхним отверстием под крепление, 64 мм;540;шт.;навесы;2,5
300R;Навес-планка с верхним отверстием под крепление, 105 мм;1667;шт.;навесы;3,98
4247,156;Discus Крепление для панели (комплект);1659;компл.;навесы;16,53
55015 R;Мебельный навес универсальный, пластик, белый, 35 кг;2159;шт.;навесы;17,17
55019 R;Мебельный навес универсальный, пластик, коричневый, 35 кг;388;шт.;навесы;15
55031-016;Мебельный навес универсальный, металл, белая пластиковая заглушка, 15 кг;1000;шт.;навесы;14,49
55031-017;Мебельный навес универсальный, металл, коричневая пластиковая заглушка, 15 кг;188;шт.;навесы;14,49
55031-15;Мебельный навес универсальный, пластик, белый, 35 кг;711;шт.;навесы;19,51
55031-19;Мебельный навес универсальный, пластик, коричневый, 35 кг;981;шт.;навесы;19,26
6 01033 50 ZN;LIKU Саморез с полукруглой головкой под крест для крепления мебельного навеса;138;шт.;навесы;4,24
6 02035 40 ZN;LIBRA H7 Саморез с полукруглой головкой под крест для крепления мебельного навеса;995;шт.;навесы;6,43
6 34120 30 EA;Врезной навес с крюком для стеновых панелей, пластик;2391;шт.;навесы;50,61
6 34200 10 ZN;LIBRA H1 Скрытый мебельный навес универсальный с креплением на саморезы;2681;шт.;навесы;63,4
6 34200 20 ZN;LIBRA H2 Скрытый мебельный навес универсальный с креплением на штоки и фиксатор;777;шт.;навесы;74,85
6 34205 00 ZN;LIBRA H6 Скрытый мебельный навес с креплением на штоки D15, правый;1269;шт.;навесы;354,04
6 34205 10 ZN;LIBRA H6 Скрытый мебельный навес с креплением на штоки D15, левый;1557;шт.;навесы;354,04
6 34222 00 ZN;LIBRA H7 Мебельный навес для коробов нижнего яруса с креплением на штоки, правый;331;шт.;навесы;463,87
6 34222 10 ZN;LIBRA H7 Мебельный навес для коробов нижнего яруса с креплением на штоки, левый;1071;шт.;навесы;463,87
6 34500 10 ZN;LIBRA WP1 Планка для навесов, сталь;812;шт.;навесы;24,1
6 34500 20 ZN;LIBRA WP2 Планка для навесов с вертикальной регулировкой, сталь;2259;шт.;навесы;36,12
6 34500 50 ZN;LIBRA WP5 Планка для навесов для коробов нижнего яруса, сталь;2363;шт.;навесы;108,78
6 34600 10 ZN;LIBRA CC1 Заглушка для навесов D12, металл, никель;1624;шт.;навесы;12
6 34610 10 BL;LIBRA CC2 Заглушка для навесов D12, пластик, черная;1045;шт.;навесы;7,07
6 34610 10 GR;LIBRA CC2 Заглушка для навесов D12, пластик, серая;2534;шт.;навесы;7,07
6 34610 10 WH;LIBRA CC2 Заглушка для навесов D12, пластик, белая;1712;шт.;навесы;7,07
6 34630 10 GR;LIBRA CC3 Заглушка для навесов D30, пластик, серая;1439;шт.;навесы;11,31
6 34630 10 WH;LIBRA CC3 Заглушка для навесов D30, пластик, белая;2506;шт.;навесы;11,31
6 34660 10 ZN;LIBRA CC1 Заглушка для навесов D12, металл, никель;316;шт.;навесы;15,9
6 38010 00;LIKU Скрытый навес универсальный для конструкций без задней стенки;213;шт.;навесы;561,84
6 38024 00 ZN;LIKU WP Планка для скрытого навеса, сталь;2978;шт.;навесы;177,41
6 40001 09;LIBRA CH Конечный элемент профиля-навеса, с креплением на саморезы;407;шт.;навесы;88
6 40030 01;LIBRA CH вертикальный профиль-навес с верхним креплением, 307 мм;2612;шт.;навесы;687,22
6 40040 01;LIBRA CH вертикальный профиль-навес с верхним креплением, 407 мм;155;шт.;навесы;757,76
6 40060 01;LIBRA CH вертикальный профиль-навес с верхним креплением, 607 мм;2864;шт.;навесы;909,16
6 500120 01;LIBRA BS Навес для кухонных коробов нижнего яруса, ширина фасада 1200 мм (комплект);850;компл.;навесы;11587,77
6 50045 01;LIBRA BS Навес для кухонных коробов нижнего яруса, ширина фасада 450 мм (комплект);1225;компл.;навесы;5927,81
6 50060 01;LIBRA BS Навес для кухонных коробов нижнего яруса, ширина фасада 600 мм (комплект);1055;компл.;навесы;9484,55
6 50090 01;LIBRA BS Навес для кухонных коробов нижнего яруса, ширина фасада 900 мм (комплект);2142;компл.;навесы;10025,6
6 710 496 100;LIBRA H7 Алюминиевый профиль для навеса, длина 496 мм;1511;шт.;навесы;590,04
6 710 796 200;LIBRA H7 Алюминиевый профиль для навеса, длина 796 мм;1354;шт.;навесы;874,24
6 711 096 300;LIBRA H7 Алюминиевый профиль для навеса, длина 1096 мм;2363;шт.;навесы;1378,9
612-05 2M;Рейка для мебельных навесов 2 м, Ш=48 мм;1090;шт.;навесы;224,9
612-05 2M/R;Рейка для мебельных навесов 2 м, Ш=37 мм;2862;шт.;навесы;98,81
612-05 3M/R;Рейка для мебельных навесов 3 м, Ш=37 мм;2179;шт.;навесы;170,35
ATC151.05.00;Универсальный навес с фиксацией, 70 кг;1714;компл.;навесы;271,62
K013.001L.101;801 Мебельный навес цельнометаллический на футорках, 100 кг, левый;1243;шт.;навесы;78,38
K013.001R.101;801 Мебельный навес цельнометаллический на футорках, 100 кг, правый;1669;шт.;навесы;78,38
K013.C00L.901;801 Заглушка для мебельного навеса, пластик, серая, левая;2639;шт.;навесы;8,34
K013.C00L.911;801 Заглушка для мебельного навеса, пластик, белая, левая;1275;шт.;навесы;8,34
K013.C00L.971;801 Заглушка для мебельного навеса, пластик, коричневая, левая;1703;шт.;навесы;8,34
